term_code,CLASS_NBR,instructor_id_number
5,10545,3209
5,12560,119
5,12600,2680
5,14195,548
5,14196,548
5,14197,548
5,14226,2680
5,14227,2680
5,14785,906
5,14786,3086
5,14909,2680
5,15076,548
5,15077,548
5,15078,548
5,15079,548
5,15142,2680
5,15143,2680
5,15323,2680
5,15353,548
5,15466,2680
6,04645,2696
6,04646,2696
6,04647,2199
6,04648,2199
6,04649,2696
6,04651,2696
6,04652,2696
6,04761,2199
6,04762,2199
6,04795,2199
6,04796,2199
6,04812,2199
6,04813,2199
6,05496,3079
6,05497,455
6,05498,1311
6,05499,456
6,05500,1453
6,05501,3481
6,05502,1860
6,05503,2317
6,05504,596
6,05505,2130
6,05507,932
6,05508,1266
6,05509,1453
6,05510,3199
6,05511,2107
6,05512,112
6,05513,3489
6,05514,25
6,05515,453
6,05516,25
6,05517,1720
6,05518,2772
6,05519,2317
6,05520,906
6,05521,337
6,05522,3488
6,05523,3439
6,05526,2950
6,05527,1075
6,05528,455
6,05529,3035
6,05530,1452
6,05531,3086
6,05532,3205
6,05533,2165
6,05534,2986
6,05535,2950
6,05536,1686
6,05537,1862
6,05538,2666
6,05539,906
6,05599,1862
6,05609,395
6,05610,1311
6,05611,2957
6,05612,3079
6,05613,3489
6,05614,459
6,05615,1684
6,05616,1684
6,05617,3481
6,05618,456
6,05620,2165
6,05664,3086
6,05805,2680
6,05806,886
6,05807,884
6,05808,3123
6,05809,3497
6,05810,469
6,05943,1763
6,05944,443
6,05945,2628
6,09460,2696
6,09611,2112
6,09612,2218
6,11093,3209
6,11685,2680
6,11958,119
6,11959,2776
6,14107,3075
6,14391,119
6,14553,1886
6,14983,2680
