student_id_number,term_code,CLASS_NBR,COMPLETED_FLAG,official_grade,ACAD_PLAN,HOURS_CARRIED
48550,2,06462,1,B-,BF5154,16.0
82127,1,08412,0,FS,BS8122,15.0
48553,2,05184,0,DROP,BS7252,15.0
48553,2,05068,1,D+,BS7252,15.0
48559,1,08406,1,D+,ND5368,16.0
48559,2,08293,0,F,BC5371,16.0
48563,1,08412,1,B-,BS8119,16.0
48567,1,14467,0,DROP,AI5508,7.0
48582,3,05169,0,DROP,BS3314,16.0
48582,3,05062,1,A,BS3314,16.0
67862,6,04645,1,S,BS7253,15.0
67862,6,04648,0,DROP,BS7253,15.0
83979,5,07873,1,A,ND1205,9.0
48592,4,04976,0,DROP,BS7253,18.0
48592,4,04974,1,A,BS7253,18.0
48596,3,05062,1,C-,BS7253,20.0
48596,3,05167,0,DROP,BS7253,20.0
48607,5,07880,1,B,BA4253,16.0
48607,4,10918,0,WP,BA4253,18.0
45099,3,06094,1,C+,BS7257,15.0
45106,2,06434,0,F,ND8835,13.0
45106,1,08412,1,D+,ND8835,16.0
45106,2,08285,1,D-,ND8835,13.0
45116,1,06120,1,A-,ND1201,15.0
45124,3,09888,1,A-,ND8837,17.0
45342,1,05242,1,B+,BS2121,15.0
45342,1,05347,0,DROP,BS2121,15.0
45351,4,15268,0,DROP,AA5505,14.0
45557,2,06446,1,C,ND1201,7.0
45557,1,06185,0,FS,ND1201,13.0
45558,2,05222,0,DROP,BS2507,15.0
45558,2,05068,1,C+,BS2507,15.0
67861,5,10545,1,A,BA4101,14.0
67861,5,07876,1,A-,BA4101,14.0
45571,1,06124,1,B-,BA4101,15.0
45581,1,05241,1,B,BS8122,15.0
45581,1,05244,0,DROP,BS8122,15.0
45617,3,06511,1,B+,BS6470,15.0
45820,1,08403,1,C+,BA4101,15.0
45843,1,05241,0,WP,BS8122,19.0
45843,1,05244,0,DROP,BS8122,19.0
45853,4,04974,0,F,BA2128,12.0
45853,3,05061,0,F,BA2128,15.0
45853,3,05165,0,DROP,BA2128,15.0
45853,2,05069,0,DROP,BA4101,15.0
45853,4,04976,0,DROP,BA2128,12.0
45853,2,05067,1,D-,BA4101,15.0
45858,2,05185,0,DROP,BS7257,18.0
45858,1,05241,0,WP,BS7257,8.0
45858,1,05406,0,DROP,BS7257,8.0
45858,2,05068,0,WP,BS7257,18.0
45864,2,05067,1,B,BS8171,17.0
45864,2,05069,0,DROP,BS8171,17.0
45864,1,06172,1,B,ND1220,18.0
74800,5,07531,1,B-,ND9956,16.0
74800,5,07878,1,A-,ND9956,16.0
45869,3,06613,1,B,ND6603,14.0
45869,1,06176,1,A,BS6235,16.0
67871,5,07516,1,C+,BA5050,15.0
46056,1,05241,1,A,BS2121,15.0
46056,1,05244,0,DROP,BS2121,15.0
46057,1,05244,0,DROP,BS2507,15.0
46057,1,05241,1,C-,BS2507,15.0
46061,1,06127,1,A,ND9956,15.0
46062,3,05062,1,C-,BS3313,18.0
46062,3,05168,0,DROP,BS3313,18.0
46062,1,06162,1,B-,ND9956,3.0
46064,4,06272,0,F,BS8156,13.0
46064,1,06140,1,C,ND1201,16.0
46065,1,05396,0,DROP,BS7260,16.0
46065,1,05395,1,A-,BS7260,16.0
46067,1,05389,1,C,BS7257,15.5
46067,1,05391,0,DROP,BS7257,15.5
46066,1,05389,1,C,BS7257,15.5
46066,1,05391,0,DROP,BS7257,15.5
